ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.11,0.47,9.88,0.0,0.09,-0.04,0.0,0.0,-0.01,6,2019-04-03 15:48:15:532
-0.11,0.47,9.88,0.0,0.09,-0.04,0.0,0.0,-0.01,10,2019-04-03 15:48:15:536
-0.14,0.29,9.97,-0.02,-0.08,0.04,0.0,0.0,-0.01,15,2019-04-03 15:48:15:541
-0.14,0.29,9.97,-0.02,-0.08,0.04,0.0,0.0,-0.01,19,2019-04-03 15:48:15:545
-0.14,0.29,9.97,-0.02,-0.08,0.04,0.0,0.0,-0.01,25,2019-04-03 15:48:15:551
-0.15,0.33,9.85,-0.02,-0.08,0.04,0.01,0.0,-0.01,30,2019-04-03 15:48:15:556
-0.15,0.33,9.85,-0.04,-0.04,-0.06,0.01,0.0,-0.01,35,2019-04-03 15:48:15:561
-0.15,0.33,9.85,-0.04,-0.04,-0.06,0.01,0.0,-0.01,40,2019-04-03 15:48:15:566
-0.15,0.33,9.85,-0.04,-0.04,-0.06,0.01,0.0,-0.01,45,2019-04-03 15:48:15:571
-0.15,0.33,9.85,-0.04,-0.04,-0.06,0.01,0.0,-0.01,50,2019-04-03 15:48:15:576
-0.15,0.33,9.85,-0.04,-0.04,-0.06,0.01,0.0,-0.01,56,2019-04-03 15:48:15:582
-0.15,0.33,9.85,-0.04,-0.04,-0.06,0.01,0.0,-0.01,60,2019-04-03 15:48:15:586
-0.15,0.4,9.86,-0.03,0.03,-0.05,0.0,0.0,-0.01,65,2019-04-03 15:48:15:591
-0.15,0.4,9.86,-0.03,0.03,-0.05,0.0,0.0,-0.01,70,2019-04-03 15:48:15:596
-0.15,0.4,9.86,-0.03,0.03,-0.05,0.0,0.0,-0.01,75,2019-04-03 15:48:15:601
-0.15,0.4,9.86,-0.03,0.03,-0.05,0.0,0.0,-0.01,79,2019-04-03 15:48:15:605
-0.14,0.33,9.94,-0.03,-0.03,0.02,0.0,0.0,0.0,85,2019-04-03 15:48:15:611
-0.14,0.33,9.94,-0.03,-0.03,0.02,0.0,0.0,0.0,91,2019-04-03 15:48:15:617
