ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-1.39,2.14,9.44,-0.44,-0.04,-0.23,-0.59,-0.66,0.07,9,2019-03-25 16:00:56:695
-1.39,2.14,9.44,-0.44,-0.04,-0.23,-0.59,-0.66,0.07,14,2019-03-25 16:00:56:700
-1.39,2.14,9.44,-0.44,-0.04,-0.23,-0.59,-0.66,0.07,18,2019-03-25 16:00:56:704
-1.39,2.14,9.44,-0.44,-0.04,-0.23,-0.59,-0.66,0.07,24,2019-03-25 16:00:56:710
-1.39,2.14,9.44,-0.44,-0.04,-0.23,-0.59,-0.66,0.07,28,2019-03-25 16:00:56:714
-1.3,1.99,10.26,-0.42,-0.06,0.6,-0.58,-0.92,0.05,33,2019-03-25 16:00:56:719
-1.3,1.99,10.26,-0.42,-0.06,0.6,-0.58,-0.92,0.05,38,2019-03-25 16:00:56:724
-1.3,1.99,10.26,-0.42,-0.06,0.6,-0.58,-0.92,0.05,43,2019-03-25 16:00:56:729
-0.66,1.78,9.79,0.04,-0.14,0.09,-0.35,-0.76,0.2,48,2019-03-25 16:00:56:734
-0.66,1.78,9.79,0.04,-0.14,0.09,-0.35,-0.76,0.2,53,2019-03-25 16:00:56:739
-0.66,1.78,9.79,0.04,-0.14,0.09,-0.35,-0.76,0.2,58,2019-03-25 16:00:56:744
-0.26,1.68,9.96,0.37,-0.19,0.27,-0.33,-0.71,0.23,63,2019-03-25 16:00:56:749
-0.26,1.68,9.96,0.37,-0.19,0.27,-0.33,-0.71,0.23,68,2019-03-25 16:00:56:754
-0.26,1.68,9.96,0.37,-0.19,0.27,-0.33,-0.71,0.23,74,2019-03-25 16:00:56:760
-0.26,1.68,9.96,0.37,-0.19,0.27,-0.33,-0.71,0.23,78,2019-03-25 16:00:56:764
0.5,1.81,10.19,0.96,-0.01,0.5,-0.27,-0.52,0.23,83,2019-03-25 16:00:56:769
0.5,1.81,10.19,0.96,-0.01,0.5,-0.27,-0.52,0.23,88,2019-03-25 16:00:56:774
0.5,1.81,10.19,0.96,-0.01,0.5,-0.27,-0.52,0.23,93,2019-03-25 16:00:56:779
0.5,1.81,10.19,0.96,-0.01,0.5,-0.27,-0.52,0.23,98,2019-03-25 16:00:56:784
0.5,1.81,10.19,0.96,-0.01,0.5,-0.27,-0.52,0.23,103,2019-03-25 16:00:56:789
0.5,1.81,10.19,0.96,-0.01,0.5,-0.27,-0.52,0.23,108,2019-03-25 16:00:56:794
0.33,1.69,10.4,0.69,-0.11,0.62,-0.16,-0.12,0.13,113,2019-03-25 16:00:56:799
0.33,1.69,10.4,0.69,-0.11,0.62,-0.16,-0.12,0.13,118,2019-03-25 16:00:56:804
0.33,1.69,10.4,0.69,-0.11,0.62,-0.05,0.28,0.07,123,2019-03-25 16:00:56:809
0.33,1.69,10.4,0.69,-0.11,0.62,-0.05,0.28,0.07,127,2019-03-25 16:00:56:813
0.33,1.69,10.4,0.69,-0.11,0.62,-0.05,0.28,0.07,133,2019-03-25 16:00:56:819
0.33,1.69,10.4,0.69,-0.11,0.62,-0.05,0.28,0.07,138,2019-03-25 16:00:56:824
0.67,1.7,9.06,0.9,-0.06,-0.73,-0.03,0.03,0.05,143,2019-03-25 16:00:56:829
0.67,1.7,9.06,0.9,-0.06,-0.73,-0.03,0.03,0.05,148,2019-03-25 16:00:56:834
0.67,1.7,9.06,0.9,-0.06,-0.73,-0.03,0.03,0.05,153,2019-03-25 16:00:56:839
0.67,1.7,9.06,0.9,-0.06,-0.73,-0.03,0.03,0.05,158,2019-03-25 16:00:56:844
0.29,1.47,9.02,0.33,-0.23,-0.79,-0.18,-0.39,-0.03,163,2019-03-25 16:00:56:849
0.29,1.47,9.02,0.33,-0.23,-0.79,-0.18,-0.39,-0.03,168,2019-03-25 16:00:56:854
0.29,1.47,9.02,0.33,-0.23,-0.79,-0.18,-0.39,-0.03,173,2019-03-25 16:00:56:859
0.29,1.47,9.02,0.33,-0.23,-0.79,-0.18,-0.39,-0.03,178,2019-03-25 16:00:56:864
0.29,1.47,9.02,0.33,-0.23,-0.79,-0.18,-0.39,-0.03,183,2019-03-25 16:00:56:869
0.29,1.47,9.02,0.33,-0.23,-0.79,-0.18,-0.39,-0.03,188,2019-03-25 16:00:56:874
0.36,1.16,8.35,0.33,-0.23,-1.4,-0.5,-0.48,-0.11,193,2019-03-25 16:00:56:879
0.36,1.16,8.35,0.25,-0.41,-1.4,-0.5,-0.48,-0.11,198,2019-03-25 16:00:56:884
-0.12,1.26,6.92,0.25,-0.41,-1.4,-0.96,-1.2,-0.04,203,2019-03-25 16:00:56:889
-0.12,1.26,6.92,0.25,-0.41,-1.4,-0.96,-1.2,-0.04,208,2019-03-25 16:00:56:894
-0.12,1.26,6.92,0.25,-0.41,-1.4,-0.96,-1.2,-0.04,213,2019-03-25 16:00:56:899
-0.12,1.26,6.92,0.25,-0.41,-1.4,-0.96,-1.2,-0.04,218,2019-03-25 16:00:56:904
