ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.5,0.73,9.86,-0.04,0.13,-0.05,0.0,0.0,0.01,3,2019-03-25 16:52:16:281
0.5,0.73,9.86,-0.04,0.13,-0.05,0.0,0.0,0.01,8,2019-03-25 16:52:16:286
0.5,0.73,9.86,-0.04,0.13,-0.05,0.0,0.0,0.01,13,2019-03-25 16:52:16:291
0.5,0.73,9.86,-0.04,0.13,-0.05,0.0,0.0,0.01,18,2019-03-25 16:52:16:296
0.5,0.73,9.86,-0.04,0.13,-0.05,0.0,0.0,0.01,23,2019-03-25 16:52:16:301
0.5,0.73,9.86,-0.04,0.13,-0.05,0.0,0.0,0.01,28,2019-03-25 16:52:16:306
0.57,0.69,9.89,0.02,0.08,-0.02,0.0,0.0,0.0,33,2019-03-25 16:52:16:311
0.57,0.69,9.89,0.02,0.08,-0.02,0.0,0.0,0.0,38,2019-03-25 16:52:16:316
0.57,0.69,9.89,0.02,0.08,-0.02,0.0,0.0,0.0,43,2019-03-25 16:52:16:321
0.57,0.69,9.89,0.02,0.08,-0.02,0.0,0.0,0.0,48,2019-03-25 16:52:16:326
0.58,0.53,9.99,0.03,-0.03,0.06,0.0,0.0,-0.01,53,2019-03-25 16:52:16:331
0.58,0.53,9.99,0.03,-0.03,0.06,0.0,0.0,-0.01,58,2019-03-25 16:52:16:336
0.58,0.53,9.99,0.03,-0.03,0.06,0.0,0.0,-0.01,65,2019-03-25 16:52:16:343
0.58,0.53,9.99,0.03,-0.03,0.06,0.0,0.0,-0.01,68,2019-03-25 16:52:16:346
0.58,0.53,9.99,0.03,-0.03,0.06,0.0,0.0,-0.01,73,2019-03-25 16:52:16:351
0.58,0.53,9.99,0.03,-0.03,0.06,0.0,0.0,-0.01,78,2019-03-25 16:52:16:356
0.58,0.53,9.99,0.03,-0.03,0.06,0.0,0.0,-0.01,83,2019-03-25 16:52:16:361
0.5,0.41,9.88,0.0,-0.08,-0.05,0.0,0.0,-0.03,88,2019-03-25 16:52:16:366
0.5,0.41,9.88,0.0,-0.08,-0.05,0.0,0.0,-0.03,93,2019-03-25 16:52:16:371
0.5,0.41,9.88,0.0,-0.08,-0.05,0.0,0.0,-0.02,98,2019-03-25 16:52:16:376
0.5,0.41,9.88,0.0,-0.08,-0.05,0.0,0.0,-0.02,103,2019-03-25 16:52:16:381
0.5,0.41,9.88,0.0,-0.08,-0.05,0.0,0.0,-0.02,108,2019-03-25 16:52:16:386
0.5,0.41,9.88,0.0,-0.08,-0.05,0.0,0.0,-0.02,113,2019-03-25 16:52:16:391
0.5,0.41,9.88,0.0,-0.08,-0.05,0.0,0.0,-0.02,118,2019-03-25 16:52:16:396
0.5,0.41,9.88,0.0,-0.08,-0.05,0.0,0.0,-0.02,125,2019-03-25 16:52:16:403
0.5,0.41,9.88,0.0,-0.08,-0.05,0.0,0.0,-0.02,128,2019-03-25 16:52:16:406
0.48,0.39,9.97,-0.02,-0.11,0.03,0.0,0.0,-0.02,133,2019-03-25 16:52:16:411
0.48,0.39,9.97,-0.02,-0.11,0.03,0.0,0.0,-0.02,139,2019-03-25 16:52:16:417
0.48,0.39,9.97,-0.02,-0.11,0.03,0.0,0.0,-0.02,148,2019-03-25 16:52:16:426
0.48,0.39,9.97,-0.02,-0.11,0.03,0.0,0.0,-0.02,149,2019-03-25 16:52:16:427
0.43,0.31,10.03,-0.07,-0.19,0.09,0.0,0.0,-0.01,153,2019-03-25 16:52:16:431
0.43,0.31,10.03,-0.07,-0.19,0.09,0.0,0.0,-0.01,158,2019-03-25 16:52:16:436
0.43,0.31,10.03,-0.07,-0.19,0.09,0.0,0.0,-0.01,164,2019-03-25 16:52:16:442
0.43,0.31,10.03,-0.07,-0.19,0.09,0.0,0.0,-0.01,168,2019-03-25 16:52:16:446
0.35,0.12,10.01,-0.14,-0.36,0.07,0.0,0.0,-0.01,173,2019-03-25 16:52:16:451
0.35,0.12,10.01,-0.14,-0.36,0.07,0.0,0.0,-0.01,179,2019-03-25 16:52:16:457
0.35,0.12,10.01,-0.14,-0.36,0.07,0.0,0.0,-0.01,184,2019-03-25 16:52:16:462
0.35,0.12,10.01,-0.14,-0.36,0.07,0.0,0.0,-0.01,188,2019-03-25 16:52:16:466
0.35,0.12,10.01,-0.14,-0.36,0.07,0.0,0.0,-0.01,193,2019-03-25 16:52:16:471
-0.59,-0.09,10.31,-0.93,-0.43,0.34,0.0,0.0,0.0,201,2019-03-25 16:52:16:479
-0.59,-0.09,10.31,-0.93,-0.43,0.34,0.0,0.0,0.0,203,2019-03-25 16:52:16:481
-0.59,-0.09,10.31,-0.93,-0.43,0.34,0.0,0.0,0.0,208,2019-03-25 16:52:16:486
-0.59,-0.09,10.31,-0.93,-0.43,0.34,0.0,0.0,0.0,213,2019-03-25 16:52:16:491
2.25,0.19,9.75,1.77,-0.09,-0.23,0.0,-0.02,-0.01,218,2019-03-25 16:52:16:496
2.25,0.19,9.75,1.77,-0.09,-0.23,0.0,-0.02,-0.01,223,2019-03-25 16:52:16:501
2.25,0.19,9.75,1.77,-0.09,-0.23,0.0,-0.02,-0.01,227,2019-03-25 16:52:16:505
2.25,0.19,9.75,1.77,-0.09,-0.23,0.0,-0.02,-0.01,233,2019-03-25 16:52:16:511
0.94,0.21,9.96,0.38,-0.04,-0.01,0.0,0.0,-0.02,238,2019-03-25 16:52:16:516
0.94,0.21,9.96,0.38,-0.04,-0.01,0.0,0.0,-0.02,243,2019-03-25 16:52:16:521
0.94,0.21,9.96,0.38,-0.04,-0.01,0.0,0.0,-0.02,248,2019-03-25 16:52:16:526
0.94,0.21,9.96,0.38,-0.04,-0.01,0.0,0.0,-0.02,253,2019-03-25 16:52:16:531
0.04,0.0,9.84,-0.48,-0.21,-0.12,0.01,0.0,0.03,257,2019-03-25 16:52:16:535
0.04,0.0,9.84,-0.48,-0.21,-0.12,0.01,0.0,0.03,263,2019-03-25 16:52:16:541
0.04,0.0,9.84,-0.48,-0.21,-0.12,0.01,0.0,0.03,268,2019-03-25 16:52:16:546
0.04,0.0,9.84,-0.48,-0.21,-0.12,0.01,0.0,0.03,273,2019-03-25 16:52:16:551
0.04,0.0,9.84,-0.48,-0.21,-0.12,0.01,0.0,0.03,278,2019-03-25 16:52:16:556
0.04,0.0,9.84,-0.48,-0.21,-0.12,0.01,0.0,0.03,283,2019-03-25 16:52:16:561
-0.51,0.38,10.44,-0.48,-0.21,-0.12,0.01,0.0,0.03,288,2019-03-25 16:52:16:566
-0.51,0.38,10.44,-0.96,0.18,0.43,0.01,0.0,0.05,293,2019-03-25 16:52:16:571
-0.51,0.38,10.44,-0.96,0.18,0.43,0.01,0.0,0.05,298,2019-03-25 16:52:16:576
-0.51,0.38,10.44,-0.96,0.18,0.43,0.01,0.0,0.05,303,2019-03-25 16:52:16:581
-0.51,0.38,10.44,-0.96,0.18,0.43,0.01,0.0,0.05,308,2019-03-25 16:52:16:586
-0.51,0.38,10.44,-0.96,0.18,0.43,0.01,0.0,0.05,313,2019-03-25 16:52:16:591
1.24,0.53,9.88,0.75,0.3,-0.09,0.01,0.0,0.04,318,2019-03-25 16:52:16:596
1.24,0.53,9.88,0.75,0.3,-0.09,0.01,0.0,0.04,324,2019-03-25 16:52:16:602
1.24,0.53,9.88,0.75,0.3,-0.09,0.01,0.0,0.04,329,2019-03-25 16:52:16:607
1.24,0.53,9.88,0.75,0.3,-0.09,0.01,0.0,0.04,333,2019-03-25 16:52:16:611
0.8,0.51,9.7,0.27,0.25,-0.25,0.01,0.0,0.02,341,2019-03-25 16:52:16:619
0.8,0.51,9.7,0.27,0.25,-0.25,0.01,0.0,0.02,343,2019-03-25 16:52:16:621
