ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-2.57,1.23,10.06,-0.68,0.15,-0.07,-0.37,0.27,-0.45,3,2019-03-25 16:02:16:245
-2.67,0.81,9.41,-0.64,-0.16,-0.66,-0.04,0.53,-0.54,8,2019-03-25 16:02:16:250
-2.67,0.81,9.41,-0.64,-0.16,-0.66,-0.04,0.53,-0.54,13,2019-03-25 16:02:16:255
-2.67,0.81,9.41,-0.64,-0.16,-0.66,-0.04,0.53,-0.54,18,2019-03-25 16:02:16:260
-2.67,0.81,9.41,-0.64,-0.16,-0.66,-0.04,0.53,-0.54,23,2019-03-25 16:02:16:265
-1.84,1.35,9.53,0.29,0.33,-0.44,-0.03,1.11,-0.55,28,2019-03-25 16:02:16:270
-1.84,1.35,9.53,0.29,0.33,-0.44,-0.03,1.11,-0.55,33,2019-03-25 16:02:16:275
-1.84,1.35,9.53,0.29,0.33,-0.44,-0.1,1.76,-0.56,38,2019-03-25 16:02:16:280
-1.84,1.35,9.53,0.29,0.33,-0.44,-0.1,1.76,-0.56,43,2019-03-25 16:02:16:285
-1.84,1.35,9.53,0.29,0.33,-0.44,-0.1,1.76,-0.56,48,2019-03-25 16:02:16:290
-1.84,1.35,9.53,0.29,0.33,-0.44,-0.1,1.76,-0.56,53,2019-03-25 16:02:16:295
-1.73,1.32,11.53,0.79,0.41,1.57,-0.03,2.27,-0.6,58,2019-03-25 16:02:16:300
-1.73,1.32,11.53,0.79,0.41,1.57,-0.03,2.27,-0.6,64,2019-03-25 16:02:16:306
-2.85,1.15,10.27,0.16,0.24,0.21,1.08,2.43,-0.46,68,2019-03-25 16:02:16:310
-2.85,1.15,10.27,0.16,0.24,0.21,1.08,2.43,-0.46,73,2019-03-25 16:02:16:315
-2.85,1.15,10.27,0.16,0.24,0.21,1.08,2.43,-0.46,78,2019-03-25 16:02:16:320
-2.85,1.15,10.27,0.16,0.24,0.21,1.08,2.43,-0.46,83,2019-03-25 16:02:16:325
