ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.46,0.45,9.94,-0.05,0.06,0.0,0.0,0.0,0.0,6,2019-03-25 16:50:00:313
0.46,0.45,9.94,-0.05,0.06,0.0,0.0,0.0,0.0,11,2019-03-25 16:50:00:318
0.46,0.45,9.94,-0.05,0.06,0.0,0.0,0.0,0.0,15,2019-03-25 16:50:00:322
0.46,0.45,9.94,-0.05,0.06,0.0,0.0,0.0,0.0,21,2019-03-25 16:50:00:328
0.46,0.45,9.94,-0.05,0.06,0.0,0.0,0.0,0.0,26,2019-03-25 16:50:00:333
0.38,0.55,9.92,-0.04,0.1,-0.02,0.0,0.0,0.0,31,2019-03-25 16:50:00:338
0.38,0.55,9.92,-0.04,0.1,-0.02,0.0,0.0,0.0,36,2019-03-25 16:50:00:343
0.38,0.55,9.92,-0.04,0.1,-0.02,0.0,0.0,0.0,41,2019-03-25 16:50:00:348
0.38,0.55,9.92,-0.04,0.1,-0.02,0.0,0.0,0.0,46,2019-03-25 16:50:00:353
0.38,0.55,9.92,-0.04,0.1,-0.02,0.0,0.0,0.0,51,2019-03-25 16:50:00:358
0.38,0.55,9.92,-0.04,0.1,-0.02,0.0,0.0,0.0,57,2019-03-25 16:50:00:364
0.38,0.55,9.92,-0.04,0.1,-0.02,0.0,0.0,0.0,61,2019-03-25 16:50:00:368
0.44,0.57,9.9,0.02,0.1,-0.04,0.0,0.0,0.0,66,2019-03-25 16:50:00:373
0.44,0.57,9.9,0.02,0.1,-0.04,0.0,0.0,0.0,73,2019-03-25 16:50:00:380
0.44,0.57,9.9,0.02,0.1,-0.04,0.0,0.0,0.0,76,2019-03-25 16:50:00:383
0.41,0.55,9.95,0.0,0.07,0.01,0.0,0.0,0.0,82,2019-03-25 16:50:00:389
0.41,0.55,9.95,0.0,0.07,0.01,0.0,0.0,0.0,86,2019-03-25 16:50:00:393
0.41,0.55,9.95,0.0,0.07,0.01,0.0,0.0,0.0,91,2019-03-25 16:50:00:398
0.4,0.58,9.94,0.0,0.07,0.01,0.0,0.0,0.0,96,2019-03-25 16:50:00:403
0.4,0.58,9.94,-0.01,0.08,0.0,0.0,0.0,0.0,101,2019-03-25 16:50:00:408
0.4,0.58,9.94,-0.01,0.08,0.0,0.0,0.0,0.0,106,2019-03-25 16:50:00:413
0.4,0.58,9.94,-0.01,0.08,0.0,0.0,0.0,0.0,111,2019-03-25 16:50:00:418
0.4,0.58,9.94,-0.01,0.08,0.0,0.0,0.0,0.0,116,2019-03-25 16:50:00:423
0.4,0.58,9.94,-0.01,0.08,0.0,0.0,0.0,0.0,121,2019-03-25 16:50:00:428
0.4,0.58,9.94,-0.01,0.08,0.0,0.0,0.0,0.0,126,2019-03-25 16:50:00:433
0.35,0.59,9.91,-0.05,0.07,-0.02,0.0,0.0,0.0,132,2019-03-25 16:50:00:439
0.35,0.59,9.91,-0.05,0.07,-0.02,0.0,0.0,0.0,136,2019-03-25 16:50:00:443
0.35,0.59,9.91,-0.05,0.07,-0.02,0.0,0.0,0.0,141,2019-03-25 16:50:00:448
0.35,0.59,9.91,-0.05,0.07,-0.02,0.0,0.0,0.0,146,2019-03-25 16:50:00:453
0.35,0.59,9.91,-0.05,0.07,-0.02,0.0,0.0,0.0,151,2019-03-25 16:50:00:458
0.35,0.59,9.91,-0.05,0.07,-0.02,0.0,0.0,0.0,156,2019-03-25 16:50:00:463
0.52,0.46,9.92,0.09,-0.06,-0.01,0.0,0.0,0.0,161,2019-03-25 16:50:00:468
0.52,0.46,9.92,0.09,-0.06,-0.01,0.0,0.0,0.0,166,2019-03-25 16:50:00:473
0.52,0.46,9.92,0.09,-0.06,-0.01,0.0,0.0,0.0,171,2019-03-25 16:50:00:478
0.52,0.46,9.92,0.09,-0.06,-0.01,0.0,0.0,0.0,176,2019-03-25 16:50:00:483
0.46,0.38,9.94,0.03,-0.14,0.0,0.0,0.0,0.01,181,2019-03-25 16:50:00:488
0.46,0.38,9.94,0.03,-0.14,0.0,0.0,0.0,0.01,187,2019-03-25 16:50:00:494
0.46,0.38,9.94,0.03,-0.14,0.0,0.0,0.0,0.01,191,2019-03-25 16:50:00:498
0.46,0.38,9.94,0.03,-0.14,0.0,0.0,0.0,0.01,196,2019-03-25 16:50:00:503
0.49,0.34,9.92,0.06,-0.17,-0.01,0.0,0.0,0.01,201,2019-03-25 16:50:00:508
0.49,0.34,9.92,0.06,-0.17,-0.01,0.0,0.0,0.01,207,2019-03-25 16:50:00:514
0.49,0.34,9.92,0.06,-0.17,-0.01,0.0,0.0,0.01,212,2019-03-25 16:50:00:519
0.45,0.34,10.01,0.02,-0.14,0.06,0.0,0.0,0.01,216,2019-03-25 16:50:00:523
0.45,0.34,10.01,0.02,-0.14,0.06,0.0,0.0,0.01,221,2019-03-25 16:50:00:528
0.45,0.34,10.01,0.02,-0.14,0.06,0.0,0.0,0.01,226,2019-03-25 16:50:00:533
0.45,0.28,10.0,0.01,-0.19,0.06,0.0,0.0,0.01,231,2019-03-25 16:50:00:538
0.45,0.28,10.0,0.01,-0.19,0.06,0.0,0.0,0.01,236,2019-03-25 16:50:00:543
0.45,0.28,10.0,0.01,-0.19,0.06,0.0,0.0,0.01,241,2019-03-25 16:50:00:548
0.47,0.33,9.98,0.01,-0.19,0.06,0.0,0.0,0.01,246,2019-03-25 16:50:00:553
0.47,0.33,9.98,0.01,-0.19,0.06,0.0,0.0,0.01,251,2019-03-25 16:50:00:558
0.47,0.33,9.98,0.01,-0.19,0.06,0.0,0.0,0.01,255,2019-03-25 16:50:00:562
0.47,0.33,9.98,0.01,-0.19,0.06,0.0,0.0,0.01,262,2019-03-25 16:50:00:569
0.42,0.3,9.88,0.01,-0.11,0.03,0.0,0.0,0.01,266,2019-03-25 16:50:00:573
0.42,0.3,9.88,0.01,-0.11,0.03,0.0,0.0,0.01,271,2019-03-25 16:50:00:578
0.42,0.3,9.88,0.01,-0.11,0.03,0.0,0.0,0.01,276,2019-03-25 16:50:00:583
0.42,0.3,9.88,0.01,-0.11,0.03,0.0,0.0,0.01,281,2019-03-25 16:50:00:588
0.42,0.3,9.88,0.01,-0.11,0.03,0.0,0.0,0.01,286,2019-03-25 16:50:00:593
0.42,0.3,9.88,0.01,-0.11,0.03,0.0,0.0,0.01,291,2019-03-25 16:50:00:598
0.42,0.3,9.88,0.01,-0.11,0.03,0.0,0.0,0.01,296,2019-03-25 16:50:00:603
0.44,0.38,9.98,-0.01,-0.01,0.03,0.0,0.0,0.0,301,2019-03-25 16:50:00:608
0.44,0.38,9.98,-0.01,-0.01,0.03,0.0,0.0,0.0,306,2019-03-25 16:50:00:613
0.47,0.32,9.87,-0.01,-0.01,0.03,0.0,0.0,0.0,311,2019-03-25 16:50:00:618
0.47,0.32,9.87,-0.01,-0.01,0.03,0.0,0.0,0.0,315,2019-03-25 16:50:00:622
0.47,0.32,9.87,-0.01,-0.01,0.03,0.0,0.0,0.0,321,2019-03-25 16:50:00:628
0.47,0.32,9.87,-0.01,-0.01,0.03,0.0,0.0,0.0,327,2019-03-25 16:50:00:634
0.47,0.39,9.94,0.0,0.03,0.0,0.0,0.0,0.0,331,2019-03-25 16:50:00:638
0.47,0.39,9.94,0.0,0.03,0.0,0.0,0.0,0.0,336,2019-03-25 16:50:00:643
0.47,0.39,9.94,0.0,0.03,0.0,0.0,0.0,0.0,340,2019-03-25 16:50:00:647
0.47,0.39,9.94,0.0,0.03,0.0,0.0,0.0,0.0,346,2019-03-25 16:50:00:653
0.49,0.39,10.01,0.02,0.04,0.06,0.0,0.0,0.0,351,2019-03-25 16:50:00:658
0.49,0.39,10.01,0.02,0.04,0.06,0.0,0.0,0.0,356,2019-03-25 16:50:00:663
0.49,0.39,10.01,0.02,0.04,0.06,0.0,0.0,0.0,361,2019-03-25 16:50:00:668
0.49,0.39,10.01,0.02,0.04,0.06,0.0,0.0,0.0,366,2019-03-25 16:50:00:673
0.45,0.45,9.95,-0.01,0.1,0.0,0.0,0.0,0.0,372,2019-03-25 16:50:00:679
0.45,0.45,9.95,-0.01,0.1,0.0,0.0,0.0,0.0,376,2019-03-25 16:50:00:683
0.45,0.45,9.95,-0.01,0.1,0.0,0.0,0.0,0.0,381,2019-03-25 16:50:00:688
0.46,0.47,9.96,-0.01,0.1,0.0,0.0,0.0,0.0,386,2019-03-25 16:50:00:693
0.46,0.47,9.96,0.0,0.11,0.01,0.0,0.0,0.0,391,2019-03-25 16:50:00:698
0.46,0.47,9.96,0.0,0.11,0.01,0.0,0.0,0.0,395,2019-03-25 16:50:00:702
0.46,0.47,9.96,0.0,0.11,0.01,0.0,0.0,0.0,402,2019-03-25 16:50:00:709
0.46,0.47,9.96,0.0,0.11,0.01,0.0,0.0,0.0,405,2019-03-25 16:50:00:712
0.46,0.47,9.96,0.0,0.11,0.01,0.0,0.0,0.0,411,2019-03-25 16:50:00:718
0.48,0.5,9.97,0.01,0.12,0.02,0.0,0.0,0.0,416,2019-03-25 16:50:00:723
0.48,0.5,9.97,0.01,0.12,0.02,0.0,0.0,0.0,421,2019-03-25 16:50:00:728
0.48,0.5,9.97,0.01,0.12,0.02,0.0,0.0,0.0,426,2019-03-25 16:50:00:733
0.49,0.46,9.94,0.01,0.06,0.0,0.0,0.0,0.0,431,2019-03-25 16:50:00:738
0.49,0.46,9.94,0.01,0.06,0.0,0.0,0.0,0.0,436,2019-03-25 16:50:00:743
0.49,0.46,9.94,0.01,0.06,0.0,0.0,0.0,0.0,441,2019-03-25 16:50:00:748
0.49,0.46,9.94,0.01,0.06,0.0,0.0,0.0,0.0,446,2019-03-25 16:50:00:753
0.46,0.43,9.95,0.0,0.01,0.0,0.0,0.0,0.0,451,2019-03-25 16:50:00:758
0.46,0.43,9.95,0.0,0.01,0.0,0.0,0.0,0.0,456,2019-03-25 16:50:00:763
0.46,0.43,9.95,0.0,0.01,0.0,0.0,0.0,0.0,461,2019-03-25 16:50:00:768
0.46,0.43,9.95,0.0,0.01,0.0,0.0,0.0,0.0,466,2019-03-25 16:50:00:773
0.52,0.36,9.97,0.04,-0.05,0.02,0.0,0.0,0.0,471,2019-03-25 16:50:00:778
0.52,0.36,9.97,0.04,-0.05,0.02,0.0,0.0,0.0,476,2019-03-25 16:50:00:783
0.52,0.36,9.97,0.04,-0.05,0.02,0.0,0.0,0.0,481,2019-03-25 16:50:00:788
0.52,0.36,9.97,0.04,-0.05,0.02,0.0,0.0,0.0,486,2019-03-25 16:50:00:793
0.57,0.33,9.95,0.07,-0.08,0.0,0.0,0.0,0.0,491,2019-03-25 16:50:00:798
0.57,0.33,9.95,0.07,-0.08,0.0,0.0,0.0,0.0,496,2019-03-25 16:50:00:803
0.57,0.33,9.95,0.07,-0.08,0.0,0.0,0.0,0.0,501,2019-03-25 16:50:00:808
0.57,0.33,9.95,0.07,-0.08,0.0,0.0,0.0,0.0,507,2019-03-25 16:50:00:814
0.57,0.33,9.95,0.07,-0.08,0.0,0.0,0.0,0.0,512,2019-03-25 16:50:00:819
0.57,0.33,9.95,0.07,-0.08,0.0,0.0,0.0,0.0,516,2019-03-25 16:50:00:823
0.56,0.3,9.93,0.06,-0.11,-0.02,0.0,0.0,0.0,521,2019-03-25 16:50:00:828
0.56,0.3,9.93,0.06,-0.11,-0.02,0.0,0.0,0.0,526,2019-03-25 16:50:00:833
0.56,0.3,9.93,0.06,-0.11,-0.02,0.0,0.0,0.0,531,2019-03-25 16:50:00:838
0.56,0.3,9.93,0.06,-0.11,-0.02,0.0,0.0,0.0,536,2019-03-25 16:50:00:843
0.6,0.35,9.96,0.07,-0.05,0.01,0.0,0.0,0.0,541,2019-03-25 16:50:00:848
0.6,0.35,9.96,0.07,-0.05,0.01,0.0,0.0,0.0,546,2019-03-25 16:50:00:853
0.6,0.35,9.96,0.07,-0.05,0.01,0.0,0.0,0.0,551,2019-03-25 16:50:00:858
0.6,0.35,9.96,0.07,-0.05,0.01,0.0,0.0,0.0,556,2019-03-25 16:50:00:863
0.6,0.35,9.96,0.07,-0.05,0.01,0.0,0.0,0.0,561,2019-03-25 16:50:00:868
0.48,0.32,9.94,-0.04,-0.08,0.0,0.0,0.0,-0.01,566,2019-03-25 16:50:00:873
0.48,0.32,9.94,-0.04,-0.08,0.0,0.0,0.0,-0.01,571,2019-03-25 16:50:00:878
0.48,0.32,9.94,-0.04,-0.08,0.0,0.0,0.0,-0.01,576,2019-03-25 16:50:00:883
0.44,0.37,9.87,-0.07,-0.02,-0.06,0.0,0.0,-0.01,581,2019-03-25 16:50:00:888
0.44,0.37,9.87,-0.07,-0.02,-0.06,0.0,0.0,-0.01,588,2019-03-25 16:50:00:895
0.44,0.37,9.87,-0.07,-0.02,-0.06,0.0,0.0,-0.01,591,2019-03-25 16:50:00:898
0.52,0.4,9.94,-0.07,-0.02,-0.06,0.0,0.0,-0.01,596,2019-03-25 16:50:00:903
0.52,0.4,9.94,0.0,0.01,0.0,0.0,0.0,-0.02,601,2019-03-25 16:50:00:908
0.52,0.4,9.94,0.0,0.01,0.0,0.0,0.0,-0.02,606,2019-03-25 16:50:00:913
0.52,0.4,9.94,0.0,0.01,0.0,0.0,0.0,-0.02,611,2019-03-25 16:50:00:918
0.55,0.4,10.02,0.02,0.02,0.07,0.0,0.0,-0.02,616,2019-03-25 16:50:00:923
0.55,0.4,10.02,0.02,0.02,0.07,0.0,0.0,-0.02,621,2019-03-25 16:50:00:928
0.55,0.4,10.02,0.02,0.02,0.07,0.0,0.0,-0.02,625,2019-03-25 16:50:00:932
0.49,0.45,9.95,-0.03,0.08,0.01,0.0,0.0,-0.02,632,2019-03-25 16:50:00:939
0.49,0.45,9.95,-0.03,0.08,0.01,0.0,0.0,-0.02,636,2019-03-25 16:50:00:943
0.49,0.45,9.95,-0.03,0.08,0.01,0.0,0.0,-0.02,641,2019-03-25 16:50:00:948
0.49,0.45,9.95,-0.03,0.08,0.01,0.0,0.0,-0.02,646,2019-03-25 16:50:00:953
0.49,0.45,9.95,-0.03,0.08,0.01,0.0,0.0,-0.02,652,2019-03-25 16:50:00:959
0.49,0.45,9.95,-0.03,0.08,0.01,0.0,0.0,-0.02,657,2019-03-25 16:50:00:964
0.34,0.46,9.97,-0.17,0.08,0.03,0.0,0.01,-0.02,662,2019-03-25 16:50:00:969
0.34,0.46,9.97,-0.17,0.08,0.03,0.0,0.01,-0.02,666,2019-03-25 16:50:00:973
0.34,0.46,9.97,-0.17,0.08,0.03,0.0,0.01,-0.02,671,2019-03-25 16:50:00:978
0.34,0.46,9.97,-0.17,0.08,0.03,0.0,0.01,-0.02,676,2019-03-25 16:50:00:983
0.17,0.49,9.98,-0.32,0.1,0.03,0.0,0.0,-0.02,681,2019-03-25 16:50:00:988
0.17,0.49,9.98,-0.32,0.1,0.03,0.0,0.0,-0.02,686,2019-03-25 16:50:00:993
0.17,0.49,9.98,-0.32,0.1,0.03,0.0,0.0,-0.02,691,2019-03-25 16:50:00:998
0.17,0.49,9.98,-0.32,0.1,0.03,0.0,0.0,-0.02,696,2019-03-25 16:50:01:003
0.17,0.49,9.98,-0.32,0.1,0.03,0.0,0.0,-0.02,701,2019-03-25 16:50:01:008
0.17,0.49,9.98,-0.32,0.1,0.03,0.0,0.0,-0.02,706,2019-03-25 16:50:01:013
0.49,0.61,9.97,0.04,0.17,0.02,0.0,0.0,-0.02,711,2019-03-25 16:50:01:018
0.49,0.61,9.97,0.04,0.17,0.02,0.0,0.0,-0.02,715,2019-03-25 16:50:01:022
0.49,0.61,9.97,0.04,0.17,0.02,0.0,0.0,-0.02,722,2019-03-25 16:50:01:029
0.49,0.61,9.97,0.04,0.17,0.02,0.0,0.0,-0.02,726,2019-03-25 16:50:01:033
0.35,0.56,10.0,-0.07,0.1,0.04,0.0,0.0,-0.01,731,2019-03-25 16:50:01:038
0.35,0.56,10.0,-0.07,0.1,0.04,0.0,0.0,-0.01,736,2019-03-25 16:50:01:043
0.35,0.56,10.0,-0.07,0.1,0.04,0.0,0.0,-0.01,741,2019-03-25 16:50:01:048
