ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.61,-0.01,10.1,0.27,-0.33,0.31,0.02,0.01,0.01,6,2019-04-03 15:48:54:294
0.57,0.78,9.75,0.01,0.32,-0.14,0.01,0.0,0.0,11,2019-04-03 15:48:54:299
0.57,0.78,9.75,0.01,0.32,-0.14,0.01,0.0,0.0,16,2019-04-03 15:48:54:304
0.57,0.78,9.75,0.01,0.32,-0.14,0.01,0.0,0.0,21,2019-04-03 15:48:54:309
0.57,0.78,9.75,0.01,0.32,-0.14,0.01,0.0,0.0,25,2019-04-03 15:48:54:313
0.7,0.16,10.04,0.14,-0.27,0.14,-0.02,0.0,0.0,31,2019-04-03 15:48:54:319
0.7,0.16,10.04,0.14,-0.27,0.14,-0.02,0.0,0.0,36,2019-04-03 15:48:54:324
0.7,0.16,10.04,0.14,-0.27,0.14,-0.02,0.0,0.0,41,2019-04-03 15:48:54:329
0.7,0.16,10.04,0.14,-0.27,0.14,-0.02,0.0,0.0,46,2019-04-03 15:48:54:334
0.53,0.54,9.79,-0.02,0.09,-0.09,0.02,0.0,0.0,51,2019-04-03 15:48:54:339
0.53,0.54,9.79,-0.02,0.09,-0.09,0.02,0.0,0.0,56,2019-04-03 15:48:54:344
0.53,0.54,9.79,-0.02,0.09,-0.09,0.02,0.0,0.0,61,2019-04-03 15:48:54:349
0.53,0.54,9.79,-0.02,0.09,-0.09,0.02,0.0,0.0,66,2019-04-03 15:48:54:354
0.51,0.48,9.81,-0.04,0.03,-0.07,0.0,0.0,0.0,71,2019-04-03 15:48:54:359
0.51,0.48,9.81,-0.04,0.03,-0.07,0.0,0.0,0.0,76,2019-04-03 15:48:54:364
0.51,0.48,9.81,-0.04,0.03,-0.07,0.0,0.0,0.0,82,2019-04-03 15:48:54:370
0.51,0.48,9.81,-0.04,0.03,-0.07,0.0,0.0,0.0,85,2019-04-03 15:48:54:373
0.51,0.48,9.81,-0.04,0.03,-0.07,0.0,0.0,0.0,91,2019-04-03 15:48:54:379
0.47,0.24,9.88,-0.04,0.03,-0.07,0.0,0.0,0.0,96,2019-04-03 15:48:54:384
