ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.7,0.56,9.93,-0.06,0.0,0.0,0.0,0.0,0.0,7,2019-03-25 16:54:47:033
0.76,0.58,9.93,0.0,0.02,0.02,0.0,0.0,0.0,13,2019-03-25 16:54:47:039
0.76,0.58,9.93,0.0,0.02,0.02,0.0,0.0,0.0,17,2019-03-25 16:54:47:043
0.76,0.58,9.93,0.0,0.02,0.02,0.0,0.0,0.0,22,2019-03-25 16:54:47:048
0.76,0.58,9.93,0.0,0.02,0.02,0.0,0.0,0.0,27,2019-03-25 16:54:47:053
0.83,0.69,9.87,0.06,0.11,-0.03,0.0,0.0,0.0,32,2019-03-25 16:54:47:058
0.83,0.69,9.87,0.06,0.11,-0.03,0.0,0.0,0.0,37,2019-03-25 16:54:47:063
0.83,0.69,9.87,0.06,0.11,-0.03,0.0,0.0,0.0,42,2019-03-25 16:54:47:068
0.83,0.69,9.87,0.06,0.11,-0.03,0.0,0.0,0.0,47,2019-03-25 16:54:47:073
0.84,0.71,9.9,0.06,0.11,-0.01,0.0,0.0,0.0,52,2019-03-25 16:54:47:078
0.84,0.71,9.9,0.06,0.11,-0.01,0.0,0.0,0.0,57,2019-03-25 16:54:47:083
0.84,0.71,9.9,0.06,0.11,-0.01,0.0,0.0,0.0,62,2019-03-25 16:54:47:088
0.84,0.71,9.9,0.06,0.11,-0.01,0.0,0.0,0.0,67,2019-03-25 16:54:47:093
0.92,0.73,9.94,0.13,0.1,0.02,0.0,0.0,0.0,72,2019-03-25 16:54:47:098
0.92,0.73,9.94,0.13,0.1,0.02,0.0,0.0,0.0,78,2019-03-25 16:54:47:104
0.92,0.73,9.94,0.13,0.1,0.02,0.0,0.0,0.0,82,2019-03-25 16:54:47:108
0.92,0.73,9.94,0.13,0.1,0.02,0.0,0.0,0.0,87,2019-03-25 16:54:47:113
0.89,0.72,9.88,0.08,0.07,-0.02,0.0,0.0,0.0,92,2019-03-25 16:54:47:118
0.89,0.72,9.88,0.08,0.07,-0.02,0.0,0.0,0.0,97,2019-03-25 16:54:47:123
0.89,0.72,9.88,0.08,0.07,-0.02,0.0,0.0,0.0,102,2019-03-25 16:54:47:128
0.89,0.72,9.88,0.08,0.07,-0.02,0.0,0.0,0.0,107,2019-03-25 16:54:47:133
0.89,0.72,9.88,0.08,0.07,-0.02,0.0,0.0,0.0,112,2019-03-25 16:54:47:138
0.89,0.72,9.88,0.08,0.07,-0.02,0.0,0.0,0.0,117,2019-03-25 16:54:47:143
0.82,0.67,9.9,0.01,0.01,0.0,0.0,0.0,0.0,123,2019-03-25 16:54:47:149
0.82,0.67,9.9,0.01,0.01,0.0,0.0,0.0,0.0,127,2019-03-25 16:54:47:153
0.82,0.67,9.9,0.01,0.01,0.0,0.0,0.0,0.0,132,2019-03-25 16:54:47:158
0.82,0.67,9.9,0.01,0.01,0.0,0.0,0.0,0.0,137,2019-03-25 16:54:47:163
0.82,0.67,9.9,0.01,0.01,0.0,0.0,0.0,0.0,142,2019-03-25 16:54:47:168
0.82,0.67,9.9,0.01,0.01,0.0,0.0,0.0,0.0,147,2019-03-25 16:54:47:173
0.82,0.67,9.9,0.01,0.01,0.0,0.0,0.0,0.0,152,2019-03-25 16:54:47:178
