ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.43,0.56,9.92,-0.05,-0.06,0.03,0.0,0.0,0.0,6,2019-04-03 15:52:46:063
0.43,0.56,9.92,-0.05,-0.06,0.03,0.0,0.0,0.0,10,2019-04-03 15:52:46:067
0.43,0.56,9.92,-0.05,-0.06,0.03,0.0,0.0,0.0,15,2019-04-03 15:52:46:072
0.43,0.56,9.92,-0.05,-0.06,0.03,0.0,0.0,0.0,21,2019-04-03 15:52:46:078
0.43,0.56,9.92,-0.05,-0.06,0.03,0.0,0.0,0.0,25,2019-04-03 15:52:46:082
0.42,0.72,9.81,-0.05,-0.06,0.03,0.0,0.0,0.0,30,2019-04-03 15:52:46:087
0.42,0.72,9.81,-0.06,0.09,-0.06,0.0,0.0,0.0,35,2019-04-03 15:52:46:092
0.42,0.72,9.81,-0.06,0.09,-0.06,0.0,0.0,0.0,39,2019-04-03 15:52:46:096
0.42,0.72,9.81,-0.06,0.09,-0.06,0.0,0.0,0.0,44,2019-04-03 15:52:46:101
0.42,0.72,9.81,-0.06,0.09,-0.06,0.0,0.0,0.0,49,2019-04-03 15:52:46:106
0.42,0.72,9.81,-0.06,0.09,-0.06,0.0,0.0,0.0,56,2019-04-03 15:52:46:113
0.42,0.72,9.81,-0.06,0.09,-0.06,0.0,0.0,0.0,60,2019-04-03 15:52:46:117
0.5,0.66,9.87,0.0,0.0,0.01,0.0,0.0,0.0,64,2019-04-03 15:52:46:121
0.5,0.66,9.87,0.0,0.0,0.01,0.0,0.0,0.0,70,2019-04-03 15:52:46:127
0.5,0.66,9.87,0.0,0.0,0.01,0.0,0.0,0.0,75,2019-04-03 15:52:46:132
0.56,0.72,9.86,0.0,0.0,0.01,0.0,0.0,0.0,81,2019-04-03 15:52:46:138
0.56,0.72,9.86,0.05,0.05,0.0,0.0,0.0,0.0,85,2019-04-03 15:52:46:142
0.56,0.72,9.86,0.05,0.05,0.0,0.0,0.0,0.0,90,2019-04-03 15:52:46:147
0.56,0.72,9.86,0.05,0.05,0.0,0.0,0.0,0.0,95,2019-04-03 15:52:46:152
0.56,0.72,9.86,0.05,0.05,0.0,0.0,0.0,0.0,100,2019-04-03 15:52:46:157
0.56,0.72,9.86,0.05,0.05,0.0,0.0,0.0,0.0,105,2019-04-03 15:52:46:162
0.56,0.72,9.86,0.05,0.05,0.0,0.0,0.0,0.0,110,2019-04-03 15:52:46:167
0.62,0.75,9.87,0.11,0.08,0.0,0.0,0.0,0.0,115,2019-04-03 15:52:46:172
0.62,0.75,9.87,0.11,0.08,0.0,0.0,0.0,0.0,120,2019-04-03 15:52:46:177
0.62,0.75,9.87,0.11,0.08,0.0,0.0,0.0,0.0,125,2019-04-03 15:52:46:182
0.62,0.75,9.87,0.11,0.08,0.0,0.0,0.0,0.0,130,2019-04-03 15:52:46:187
0.42,0.66,9.79,-0.07,-0.01,-0.06,0.0,0.0,0.0,135,2019-04-03 15:52:46:192
0.42,0.66,9.79,-0.07,-0.01,-0.06,0.0,0.0,0.0,140,2019-04-03 15:52:46:197
0.42,0.66,9.79,-0.07,-0.01,-0.06,0.0,0.0,0.0,145,2019-04-03 15:52:46:202
0.42,0.66,9.79,-0.07,-0.01,-0.06,0.0,0.0,0.0,150,2019-04-03 15:52:46:207
0.42,0.66,9.79,-0.07,-0.01,-0.06,0.0,0.0,0.0,155,2019-04-03 15:52:46:212
0.42,0.66,9.79,-0.07,-0.01,-0.06,0.0,0.0,0.0,160,2019-04-03 15:52:46:217
0.43,0.64,9.28,-0.07,-0.02,-0.54,0.0,0.0,0.0,165,2019-04-03 15:52:46:222
0.43,0.64,9.28,-0.07,-0.02,-0.54,0.0,0.0,0.0,170,2019-04-03 15:52:46:227
0.43,0.64,9.28,-0.07,-0.02,-0.54,0.0,0.0,0.0,175,2019-04-03 15:52:46:232
0.43,0.64,9.28,-0.07,-0.02,-0.54,0.0,0.0,0.0,180,2019-04-03 15:52:46:237
1.44,0.46,9.63,0.9,-0.19,-0.12,0.0,-0.04,-0.01,185,2019-04-03 15:52:46:242
1.44,0.46,9.63,0.9,-0.19,-0.12,0.0,-0.04,-0.01,190,2019-04-03 15:52:46:247
1.44,0.46,9.63,0.9,-0.19,-0.12,0.0,-0.04,-0.01,195,2019-04-03 15:52:46:252
0.55,1.1,9.05,0.9,-0.19,-0.12,0.0,-0.04,-0.01,201,2019-04-03 15:52:46:258
0.55,1.1,9.05,0.04,0.42,-0.62,0.02,0.03,0.0,206,2019-04-03 15:52:46:263
0.55,1.1,9.05,0.04,0.42,-0.62,0.02,0.03,0.0,210,2019-04-03 15:52:46:267
0.55,1.1,9.05,0.04,0.42,-0.62,0.02,0.03,0.0,215,2019-04-03 15:52:46:272
0.55,1.1,9.05,0.04,0.42,-0.62,0.02,0.03,0.0,220,2019-04-03 15:52:46:277
0.15,0.45,9.26,-0.36,-0.2,-0.37,-0.02,0.01,0.0,225,2019-04-03 15:52:46:282
0.15,0.45,9.26,-0.36,-0.2,-0.37,-0.02,0.01,0.0,230,2019-04-03 15:52:46:287
0.15,0.45,9.26,-0.36,-0.2,-0.37,-0.02,0.01,0.0,235,2019-04-03 15:52:46:292
0.61,0.59,9.53,0.08,-0.07,-0.06,0.0,-0.02,0.0,240,2019-04-03 15:52:46:297
0.61,0.59,9.53,0.08,-0.07,-0.06,0.0,-0.02,0.0,245,2019-04-03 15:52:46:302
0.61,0.59,9.53,0.08,-0.07,-0.06,0.0,-0.02,0.0,252,2019-04-03 15:52:46:309
0.61,0.59,9.53,0.08,-0.07,-0.06,0.0,-0.02,0.0,255,2019-04-03 15:52:46:312
0.61,0.59,9.53,0.08,-0.07,-0.06,0.0,-0.02,0.0,260,2019-04-03 15:52:46:317
0.69,0.88,9.78,0.16,0.21,0.18,0.01,-0.01,0.0,265,2019-04-03 15:52:46:322
0.69,0.88,9.78,0.16,0.21,0.18,0.01,-0.01,0.0,270,2019-04-03 15:52:46:327
0.69,0.88,9.78,0.16,0.21,0.18,0.01,-0.01,0.0,276,2019-04-03 15:52:46:333
0.59,0.52,9.92,0.16,0.21,0.18,-0.01,0.0,0.0,280,2019-04-03 15:52:46:337
0.59,0.52,9.92,0.05,-0.12,0.32,-0.01,0.0,0.0,285,2019-04-03 15:52:46:342
0.59,0.52,9.92,0.05,-0.12,0.32,-0.01,0.0,0.0,290,2019-04-03 15:52:46:347
0.59,0.52,9.92,0.05,-0.12,0.32,-0.01,0.0,0.0,295,2019-04-03 15:52:46:352
0.39,0.59,9.77,-0.13,-0.05,0.18,0.0,0.0,0.0,300,2019-04-03 15:52:46:357
0.39,0.59,9.77,-0.13,-0.05,0.18,0.0,0.0,0.0,305,2019-04-03 15:52:46:362
0.39,0.59,9.77,-0.13,-0.05,0.18,0.0,0.0,0.0,310,2019-04-03 15:52:46:367
0.39,0.59,9.77,-0.13,-0.05,0.18,0.0,0.0,0.0,315,2019-04-03 15:52:46:372
0.39,0.59,9.77,-0.13,-0.05,0.18,0.0,0.0,0.0,320,2019-04-03 15:52:46:377
0.39,0.59,9.77,-0.13,-0.05,0.18,0.0,0.0,0.0,325,2019-04-03 15:52:46:382
0.39,0.59,9.77,-0.13,-0.05,0.18,0.0,0.0,0.0,330,2019-04-03 15:52:46:387
0.43,0.74,9.66,-0.11,0.09,0.08,0.0,0.0,0.0,335,2019-04-03 15:52:46:392
0.43,0.74,9.66,-0.11,0.09,0.08,0.0,0.0,0.0,340,2019-04-03 15:52:46:397
0.43,0.74,9.66,-0.11,0.09,0.08,0.0,0.0,0.0,345,2019-04-03 15:52:46:402
0.5,0.54,9.9,-0.11,0.09,0.08,-0.01,0.0,0.0,350,2019-04-03 15:52:46:407
0.5,0.54,9.9,-0.04,-0.09,0.28,-0.01,0.0,0.0,355,2019-04-03 15:52:46:412
0.5,0.54,9.9,-0.04,-0.09,0.28,-0.01,0.0,0.0,360,2019-04-03 15:52:46:417
0.5,0.54,9.9,-0.04,-0.09,0.28,-0.01,0.0,0.0,365,2019-04-03 15:52:46:422
0.5,0.54,9.9,-0.04,-0.09,0.28,-0.01,0.0,0.0,371,2019-04-03 15:52:46:428
0.5,0.54,9.9,-0.04,-0.09,0.28,-0.01,0.0,0.0,375,2019-04-03 15:52:46:432
0.43,0.57,9.87,-0.04,-0.09,0.28,-0.01,0.0,0.0,380,2019-04-03 15:52:46:437
0.43,0.57,9.87,-0.1,-0.07,0.25,0.0,0.0,0.0,385,2019-04-03 15:52:46:442
0.43,0.57,9.87,-0.1,-0.07,0.25,0.0,0.0,0.0,390,2019-04-03 15:52:46:447
0.43,0.57,9.87,-0.1,-0.07,0.25,0.0,0.0,0.0,395,2019-04-03 15:52:46:452
0.49,0.53,9.91,-0.03,-0.1,0.15,0.0,0.0,0.0,400,2019-04-03 15:52:46:457
0.49,0.53,9.91,-0.03,-0.1,0.15,0.0,0.0,0.0,405,2019-04-03 15:52:46:462
0.49,0.53,9.91,-0.03,-0.1,0.15,0.0,0.0,0.0,410,2019-04-03 15:52:46:467
0.49,0.53,9.91,-0.03,-0.1,0.15,0.0,0.0,0.0,415,2019-04-03 15:52:46:472
0.49,0.53,9.91,-0.03,-0.1,0.15,0.0,0.0,0.0,420,2019-04-03 15:52:46:477
0.49,0.53,9.91,-0.03,-0.1,0.15,0.0,0.0,0.0,425,2019-04-03 15:52:46:482
0.32,0.64,9.81,-0.19,-0.01,0.0,0.0,0.0,0.0,430,2019-04-03 15:52:46:487
0.32,0.64,9.81,-0.19,-0.01,0.0,0.0,0.0,0.0,435,2019-04-03 15:52:46:492
0.32,0.64,9.81,-0.19,-0.01,0.0,0.0,0.0,0.0,441,2019-04-03 15:52:46:498
0.32,0.64,9.81,-0.19,-0.01,0.0,0.0,0.0,0.0,445,2019-04-03 15:52:46:502
0.48,0.65,9.83,-0.19,-0.01,0.0,0.0,0.0,0.0,450,2019-04-03 15:52:46:507
0.48,0.65,9.83,-0.02,0.0,0.0,0.0,0.0,0.0,455,2019-04-03 15:52:46:512
0.48,0.65,9.83,-0.02,0.0,0.0,0.0,0.0,0.0,460,2019-04-03 15:52:46:517
0.48,0.65,9.83,-0.02,0.0,0.0,0.0,0.0,0.0,465,2019-04-03 15:52:46:522
0.56,0.6,10.0,0.06,-0.03,0.14,0.0,0.0,0.0,471,2019-04-03 15:52:46:528
0.56,0.6,10.0,0.06,-0.03,0.14,0.0,0.0,0.0,477,2019-04-03 15:52:46:534
0.56,0.6,10.0,0.06,-0.03,0.14,0.0,0.0,0.0,480,2019-04-03 15:52:46:537
0.56,0.6,10.0,0.06,-0.03,0.14,0.0,0.0,0.0,487,2019-04-03 15:52:46:544
0.48,0.55,9.85,-0.01,-0.08,0.0,0.0,0.0,0.0,490,2019-04-03 15:52:46:547
0.48,0.55,9.85,-0.01,-0.08,0.0,0.0,0.0,0.0,495,2019-04-03 15:52:46:552
0.48,0.55,9.85,-0.01,-0.08,0.0,0.0,0.0,0.0,500,2019-04-03 15:52:46:557
0.49,0.64,9.88,0.0,0.01,0.01,0.0,0.0,0.0,514,2019-04-03 15:52:46:571
0.49,0.64,9.88,0.0,0.01,0.01,0.0,0.0,0.0,515,2019-04-03 15:52:46:572
0.49,0.64,9.88,0.0,0.01,0.01,0.0,0.0,0.0,515,2019-04-03 15:52:46:572
0.49,0.64,9.88,0.0,0.01,0.01,0.0,0.0,0.0,520,2019-04-03 15:52:46:577
0.49,0.64,9.88,0.0,0.01,0.01,0.0,0.0,0.0,525,2019-04-03 15:52:46:582
0.52,0.65,9.88,0.03,0.02,0.0,0.0,0.0,0.0,530,2019-04-03 15:52:46:587
0.52,0.65,9.88,0.03,0.02,0.0,0.0,0.0,0.0,535,2019-04-03 15:52:46:592
0.52,0.65,9.88,0.03,0.02,0.0,0.0,0.0,0.0,540,2019-04-03 15:52:46:597
0.52,0.65,9.88,0.03,0.02,0.0,0.0,0.0,0.0,545,2019-04-03 15:52:46:602
0.52,0.65,9.88,0.03,0.02,0.0,0.0,0.0,0.0,550,2019-04-03 15:52:46:607
0.52,0.65,9.88,0.03,0.02,0.0,0.0,0.0,0.0,555,2019-04-03 15:52:46:612
0.53,0.63,9.92,0.03,0.0,0.04,0.0,0.0,0.0,564,2019-04-03 15:52:46:621
0.53,0.63,9.92,0.03,0.0,0.04,0.0,0.0,0.0,566,2019-04-03 15:52:46:623
0.53,0.63,9.92,0.03,0.0,0.04,0.0,0.0,0.0,569,2019-04-03 15:52:46:626
0.53,0.63,9.92,0.03,0.0,0.04,0.0,0.0,0.0,576,2019-04-03 15:52:46:633
0.53,0.63,9.92,0.03,0.0,0.04,0.0,0.0,0.0,580,2019-04-03 15:52:46:637
0.54,0.67,9.87,0.04,0.05,0.0,0.0,0.0,0.0,585,2019-04-03 15:52:46:642
0.54,0.67,9.87,0.04,0.05,0.0,0.0,0.0,0.0,590,2019-04-03 15:52:46:647
0.54,0.67,9.87,0.04,0.05,0.0,0.0,0.0,0.0,595,2019-04-03 15:52:46:652
0.5,0.69,9.86,0.04,0.05,0.0,0.0,0.0,0.0,600,2019-04-03 15:52:46:657
0.5,0.69,9.86,0.0,0.06,-0.01,0.0,0.0,0.0,605,2019-04-03 15:52:46:662
0.5,0.69,9.86,0.0,0.06,-0.01,0.0,0.0,0.0,610,2019-04-03 15:52:46:667
0.5,0.69,9.86,0.0,0.06,-0.01,0.0,0.0,0.0,615,2019-04-03 15:52:46:672
0.5,0.7,9.85,0.0,0.07,-0.01,0.0,0.0,0.0,620,2019-04-03 15:52:46:677
0.5,0.7,9.85,0.0,0.07,-0.01,0.0,0.0,0.0,625,2019-04-03 15:52:46:682
0.5,0.7,9.85,0.0,0.07,-0.01,0.0,0.0,0.0,630,2019-04-03 15:52:46:687
0.5,0.7,9.85,0.0,0.07,-0.01,0.0,0.0,0.0,635,2019-04-03 15:52:46:692
-0.46,0.53,9.9,-0.9,-0.09,0.03,0.0,0.0,0.0,640,2019-04-03 15:52:46:697
-0.46,0.53,9.9,-0.9,-0.09,0.03,0.0,0.0,0.0,645,2019-04-03 15:52:46:702
-0.46,0.53,9.9,-0.9,-0.09,0.03,0.0,0.0,0.0,650,2019-04-03 15:52:46:707
-0.46,0.53,9.9,-0.9,-0.09,0.03,0.0,0.0,0.0,655,2019-04-03 15:52:46:712
1.99,1.03,11.82,-0.9,-0.09,0.03,0.0,0.0,0.0,662,2019-04-03 15:52:46:719
1.99,1.03,11.82,1.47,0.36,1.89,0.01,-0.07,-0.04,665,2019-04-03 15:52:46:722
1.99,1.03,11.82,1.47,0.36,1.89,0.01,-0.07,-0.04,669,2019-04-03 15:52:46:726
1.99,1.03,11.82,1.47,0.36,1.89,0.01,-0.07,-0.04,675,2019-04-03 15:52:46:732
1.99,1.03,11.82,1.47,0.36,1.89,0.01,-0.07,-0.04,679,2019-04-03 15:52:46:736
0.6,1.72,9.76,0.02,0.89,-0.02,0.0,0.04,0.01,685,2019-04-03 15:52:46:742
0.6,1.72,9.76,0.02,0.89,-0.02,0.0,0.04,0.01,690,2019-04-03 15:52:46:747
0.6,1.72,9.76,0.02,0.89,-0.02,0.0,0.04,0.01,696,2019-04-03 15:52:46:753
0.6,1.72,9.76,0.02,0.89,-0.02,0.0,0.04,0.01,700,2019-04-03 15:52:46:757
-0.83,0.79,9.12,-1.3,0.0,-0.66,-0.01,0.03,0.03,706,2019-04-03 15:52:46:763
-0.83,0.79,9.12,-1.3,0.0,-0.66,-0.01,0.03,0.03,710,2019-04-03 15:52:46:767
-0.83,0.79,9.12,-1.3,0.0,-0.66,-0.01,0.03,0.03,715,2019-04-03 15:52:46:772
0.64,0.25,9.81,0.15,-0.56,0.0,-0.05,-0.03,0.01,720,2019-04-03 15:52:46:777
0.64,0.25,9.81,0.15,-0.56,0.0,-0.05,-0.03,0.01,725,2019-04-03 15:52:46:782
0.64,0.25,9.81,0.15,-0.56,0.0,-0.05,-0.03,0.01,730,2019-04-03 15:52:46:787
0.64,0.25,9.81,0.15,-0.56,0.0,-0.05,-0.03,0.01,735,2019-04-03 15:52:46:792
0.97,2.01,9.42,0.45,1.11,-0.36,0.07,-0.01,0.03,740,2019-04-03 15:52:46:797
0.97,2.01,9.42,0.45,1.11,-0.36,0.07,-0.01,0.03,745,2019-04-03 15:52:46:802
0.97,2.01,9.42,0.45,1.11,-0.36,0.07,-0.01,0.03,750,2019-04-03 15:52:46:807
0.97,2.01,9.42,0.45,1.11,-0.36,0.07,-0.01,0.03,755,2019-04-03 15:52:46:812
0.47,0.64,10.23,0.45,1.11,-0.36,-0.04,0.0,0.02,760,2019-04-03 15:52:46:817
0.47,0.64,10.23,-0.02,-0.25,0.41,-0.04,0.0,0.02,766,2019-04-03 15:52:46:823
0.47,0.64,10.23,-0.02,-0.25,0.41,-0.04,0.0,0.02,770,2019-04-03 15:52:46:827
0.47,0.64,10.23,-0.02,-0.25,0.41,-0.04,0.0,0.02,775,2019-04-03 15:52:46:832
0.47,0.64,10.23,-0.02,-0.25,0.41,-0.04,0.0,0.02,780,2019-04-03 15:52:46:837
0.47,0.64,10.23,-0.02,-0.25,0.41,-0.04,0.0,0.02,785,2019-04-03 15:52:46:842
1.01,1.05,10.26,-0.02,-0.25,0.41,0.0,-0.02,0.01,790,2019-04-03 15:52:46:847
1.01,1.05,10.26,0.5,0.1,0.44,0.0,-0.02,0.01,794,2019-04-03 15:52:46:851
1.01,1.05,10.26,0.5,0.1,0.44,0.0,-0.02,0.01,800,2019-04-03 15:52:46:857
1.01,1.05,10.26,0.5,0.1,0.44,0.03,0.02,0.04,805,2019-04-03 15:52:46:862
1.01,1.05,10.26,0.5,0.1,0.44,0.03,0.02,0.04,810,2019-04-03 15:52:46:867
1.01,1.05,10.26,0.5,0.1,0.44,0.03,0.02,0.04,815,2019-04-03 15:52:46:872
1.01,1.05,10.26,0.5,0.1,0.44,0.03,0.02,0.04,820,2019-04-03 15:52:46:877
1.01,1.05,10.26,0.5,0.1,0.44,0.03,0.02,0.04,825,2019-04-03 15:52:46:882
1.01,1.05,10.26,0.5,0.1,0.44,0.03,0.02,0.04,830,2019-04-03 15:52:46:887
0.53,0.79,9.86,0.02,-0.24,0.04,-0.03,0.0,0.05,836,2019-04-03 15:52:46:893
0.53,0.79,9.86,0.02,-0.24,0.04,-0.03,0.0,0.05,840,2019-04-03 15:52:46:897
0.53,0.79,9.86,0.02,-0.24,0.04,-0.03,0.0,0.05,845,2019-04-03 15:52:46:902
0.83,1.28,10.01,0.24,0.17,0.2,0.0,0.0,0.08,851,2019-04-03 15:52:46:908
0.83,1.28,10.01,0.24,0.17,0.2,0.0,0.0,0.08,855,2019-04-03 15:52:46:912
0.83,1.28,10.01,0.24,0.17,0.2,0.0,0.0,0.08,860,2019-04-03 15:52:46:917
0.59,1.34,9.64,0.24,0.17,0.2,0.01,0.0,0.1,871,2019-04-03 15:52:46:928
0.59,1.34,9.64,0.24,0.17,0.2,0.01,0.0,0.1,872,2019-04-03 15:52:46:929
0.59,1.34,9.64,0.24,0.17,0.2,0.01,0.0,0.1,875,2019-04-03 15:52:46:932
0.59,1.34,9.64,0.24,0.17,0.2,0.01,0.0,0.1,879,2019-04-03 15:52:46:936
0.33,0.63,10.16,-0.14,-0.37,0.27,-0.02,0.01,0.11,885,2019-04-03 15:52:46:942
0.33,0.63,10.16,-0.14,-0.37,0.27,-0.02,0.01,0.11,891,2019-04-03 15:52:46:948
0.33,0.63,10.16,-0.14,-0.37,0.27,-0.02,0.01,0.11,895,2019-04-03 15:52:46:952
