ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.01,0.33,9.9,-0.07,0.04,0.0,0.0,0.0,0.0,5,2019-04-03 15:51:30:708
0.01,0.33,9.9,-0.07,0.04,0.0,0.0,0.0,0.0,10,2019-04-03 15:51:30:713
0.01,0.33,9.9,-0.07,0.04,0.0,0.0,0.0,0.0,14,2019-04-03 15:51:30:717
0.01,0.33,9.9,-0.07,0.04,0.0,0.0,0.0,0.0,20,2019-04-03 15:51:30:723
0.01,0.33,9.9,-0.07,0.04,0.0,0.0,0.0,0.0,25,2019-04-03 15:51:30:728
0.01,0.33,9.9,-0.07,0.04,0.0,0.0,0.0,0.0,30,2019-04-03 15:51:30:733
0.06,0.32,9.89,-0.07,0.04,0.0,0.0,0.0,0.0,34,2019-04-03 15:51:30:737
0.06,0.32,9.89,0.0,0.02,-0.01,0.0,0.0,0.0,40,2019-04-03 15:51:30:743
0.06,0.32,9.89,0.0,0.02,-0.01,0.0,0.0,0.0,45,2019-04-03 15:51:30:748
0.06,0.32,9.89,0.0,0.02,-0.01,0.0,0.0,0.0,50,2019-04-03 15:51:30:753
0.06,0.32,9.89,0.0,0.02,-0.01,0.0,0.0,0.0,55,2019-04-03 15:51:30:758
0.06,0.32,9.89,0.0,0.02,-0.01,0.0,0.0,0.0,60,2019-04-03 15:51:30:763
0.12,0.37,9.85,0.06,0.06,-0.05,0.0,0.0,0.0,65,2019-04-03 15:51:30:768
0.12,0.37,9.85,0.06,0.06,-0.05,0.0,0.0,0.0,70,2019-04-03 15:51:30:773
0.12,0.37,9.85,0.06,0.06,-0.05,0.0,0.0,0.0,75,2019-04-03 15:51:30:778
0.12,0.37,9.85,0.06,0.06,-0.05,0.0,0.0,0.0,80,2019-04-03 15:51:30:783
0.12,0.37,9.85,0.06,0.06,-0.05,0.0,0.0,0.0,85,2019-04-03 15:51:30:788
0.12,0.37,9.85,0.06,0.06,-0.05,0.0,0.0,0.0,90,2019-04-03 15:51:30:793
0.13,0.33,9.92,0.07,0.0,0.02,0.0,0.0,0.0,97,2019-04-03 15:51:30:800
0.13,0.33,9.92,0.07,0.0,0.02,0.0,0.0,0.0,100,2019-04-03 15:51:30:803
0.13,0.33,9.92,0.07,0.0,0.02,0.0,0.0,0.0,105,2019-04-03 15:51:30:808
0.13,0.33,9.92,0.07,0.0,0.02,0.0,0.0,0.0,110,2019-04-03 15:51:30:813
0.13,0.33,9.92,0.07,0.0,0.02,0.0,0.0,0.0,116,2019-04-03 15:51:30:819
0.13,0.33,9.92,0.07,0.0,0.02,0.0,0.0,0.0,120,2019-04-03 15:51:30:823
0.13,0.33,9.92,0.07,0.0,0.02,0.0,0.0,0.0,125,2019-04-03 15:51:30:828
0.03,0.36,9.9,0.07,0.0,0.02,0.0,0.0,0.0,131,2019-04-03 15:51:30:834
0.03,0.36,9.9,-0.03,0.03,0.0,0.0,0.0,0.0,138,2019-04-03 15:51:30:841
0.03,0.36,9.9,-0.03,0.03,0.0,0.0,0.0,0.0,140,2019-04-03 15:51:30:843
0.03,0.36,9.9,-0.03,0.03,0.0,0.0,-0.01,0.0,145,2019-04-03 15:51:30:848
0.03,0.36,9.9,-0.03,0.03,0.0,0.0,-0.01,0.0,150,2019-04-03 15:51:30:853
0.03,0.36,9.9,-0.03,0.03,0.0,0.0,-0.01,0.0,155,2019-04-03 15:51:30:858
0.03,0.36,9.9,-0.03,0.03,0.0,0.0,-0.01,0.0,160,2019-04-03 15:51:30:863
0.13,0.4,9.9,0.04,0.05,0.01,0.0,0.0,0.0,165,2019-04-03 15:51:30:868
0.13,0.4,9.9,0.04,0.05,0.01,0.0,0.0,0.0,170,2019-04-03 15:51:30:873
0.13,0.4,9.9,0.04,0.05,0.01,0.0,0.0,0.0,175,2019-04-03 15:51:30:878
0.13,0.4,9.9,0.04,0.05,0.01,0.0,0.0,0.0,180,2019-04-03 15:51:30:883
0.24,0.49,10.05,0.13,0.13,0.14,0.0,0.0,0.0,185,2019-04-03 15:51:30:888
0.24,0.49,10.05,0.13,0.13,0.14,0.0,0.0,0.0,189,2019-04-03 15:51:30:892
0.24,0.49,10.05,0.13,0.13,0.14,0.0,0.0,0.0,195,2019-04-03 15:51:30:898
0.24,0.49,10.05,0.13,0.13,0.14,0.0,0.0,0.0,201,2019-04-03 15:51:30:904
-0.1,0.44,9.8,0.0,0.13,0.06,0.0,0.0,0.0,205,2019-04-03 15:51:30:908
-0.1,0.44,9.8,0.0,0.13,0.06,0.0,0.0,0.0,210,2019-04-03 15:51:30:913
-0.1,0.44,9.8,0.0,0.13,0.06,0.0,0.01,0.0,215,2019-04-03 15:51:30:918
-0.1,0.44,9.8,0.0,0.13,0.06,0.0,0.01,0.0,220,2019-04-03 15:51:30:923
-0.1,0.44,9.8,0.0,0.13,0.06,0.0,0.01,0.0,225,2019-04-03 15:51:30:928
-0.1,0.44,9.8,0.0,0.13,0.06,0.0,0.01,0.0,230,2019-04-03 15:51:30:933
0.58,0.56,9.82,0.46,0.17,-0.1,0.0,0.0,0.0,235,2019-04-03 15:51:30:938
0.58,0.56,9.82,0.46,0.17,-0.1,0.0,0.0,0.0,240,2019-04-03 15:51:30:943
0.58,0.56,9.82,0.46,0.17,-0.1,0.0,0.06,0.01,245,2019-04-03 15:51:30:948
0.58,0.56,9.82,0.46,0.17,-0.1,0.0,0.06,0.01,250,2019-04-03 15:51:30:953
0.58,0.56,9.82,0.46,0.17,-0.1,0.0,0.06,0.01,255,2019-04-03 15:51:30:958
0.58,0.56,9.82,0.46,0.17,-0.1,0.0,0.06,0.01,260,2019-04-03 15:51:30:963
-0.88,0.35,8.43,-0.94,-0.02,-1.33,-0.02,-0.08,0.0,265,2019-04-03 15:51:30:968
-0.88,0.35,8.43,-0.94,-0.02,-1.33,-0.02,-0.08,0.0,270,2019-04-03 15:51:30:973
-0.88,0.35,8.43,-0.94,-0.02,-1.33,-0.02,-0.08,0.0,275,2019-04-03 15:51:30:978
-0.88,0.35,8.43,-0.94,-0.02,-1.33,-0.02,-0.08,0.0,280,2019-04-03 15:51:30:983
-0.16,0.05,10.01,-0.19,-0.31,0.31,-0.01,-0.01,0.01,285,2019-04-03 15:51:30:988
-0.16,0.05,10.01,-0.19,-0.31,0.31,-0.01,-0.01,0.01,290,2019-04-03 15:51:30:993
-0.16,0.05,10.01,-0.19,-0.31,0.31,-0.01,-0.01,0.01,295,2019-04-03 15:51:30:998
-0.16,0.05,10.01,-0.19,-0.31,0.31,-0.01,-0.01,0.01,300,2019-04-03 15:51:31:003
0.49,0.21,10.45,0.47,-0.16,0.72,0.0,-0.03,0.01,305,2019-04-03 15:51:31:008
