ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.57,0.34,9.93,0.14,0.1,-0.02,0.01,0.0,0.03,5,2019-03-25 16:50:09:722
0.48,0.5,9.92,0.03,0.25,-0.04,0.0,0.0,0.02,10,2019-03-25 16:50:09:727
0.48,0.5,9.92,0.03,0.25,-0.04,0.0,0.0,0.02,15,2019-03-25 16:50:09:732
0.48,0.5,9.92,0.03,0.25,-0.04,0.0,0.0,0.02,20,2019-03-25 16:50:09:737
0.48,0.5,9.92,0.03,0.25,-0.04,0.0,0.0,0.02,25,2019-03-25 16:50:09:742
0.47,0.6,10.02,0.01,0.32,0.05,0.01,0.0,0.02,31,2019-03-25 16:50:09:748
0.47,0.6,10.02,0.01,0.32,0.05,0.01,0.0,0.02,35,2019-03-25 16:50:09:752
0.65,0.56,9.95,0.24,0.25,0.06,0.01,0.0,0.03,40,2019-03-25 16:50:09:757
0.65,0.56,9.95,0.24,0.25,0.06,0.01,0.0,0.03,45,2019-03-25 16:50:09:762
0.65,0.56,9.95,0.24,0.25,0.06,0.01,0.0,0.03,51,2019-03-25 16:50:09:768
0.65,0.56,9.95,0.24,0.25,0.06,0.01,0.0,0.03,54,2019-03-25 16:50:09:771
0.65,0.56,9.95,0.24,0.25,0.06,0.01,0.0,0.03,61,2019-03-25 16:50:09:778
0.65,0.56,9.95,0.24,0.25,0.06,0.01,0.0,0.03,64,2019-03-25 16:50:09:781
0.65,0.56,9.95,0.24,0.25,0.06,0.01,0.0,0.03,70,2019-03-25 16:50:09:787
0.72,0.16,9.7,0.22,-0.17,-0.25,0.01,0.0,0.03,75,2019-03-25 16:50:09:792
0.72,0.16,9.7,0.22,-0.17,-0.25,0.01,0.0,0.03,80,2019-03-25 16:50:09:797
0.72,0.16,9.7,0.22,-0.17,-0.25,0.01,0.0,0.03,85,2019-03-25 16:50:09:802
0.72,0.16,9.7,0.22,-0.17,-0.25,0.01,0.0,0.03,90,2019-03-25 16:50:09:807
0.72,0.16,9.7,0.22,-0.17,-0.25,0.01,0.0,0.03,95,2019-03-25 16:50:09:812
0.72,0.16,9.7,0.22,-0.17,-0.25,0.01,0.0,0.03,103,2019-03-25 16:50:09:820
0.72,0.16,9.7,0.22,-0.17,-0.25,0.01,0.0,0.03,105,2019-03-25 16:50:09:822
-0.22,1.54,9.96,-0.69,1.09,0.0,0.03,0.03,0.09,110,2019-03-25 16:50:09:827
-0.22,1.54,9.96,-0.69,1.09,0.0,0.03,0.03,0.09,115,2019-03-25 16:50:09:832
-0.22,1.54,9.96,-0.69,1.09,0.0,0.03,0.03,0.09,120,2019-03-25 16:50:09:837
-0.22,1.54,9.96,-0.69,1.09,0.0,0.03,0.03,0.09,125,2019-03-25 16:50:09:842
0.41,2.31,9.91,-0.03,1.66,-0.01,0.02,0.01,0.08,130,2019-03-25 16:50:09:847
0.41,2.31,9.91,-0.03,1.66,-0.01,0.02,0.01,0.08,135,2019-03-25 16:50:09:852
