ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-1.76,7.16,6.35,-0.06,-0.01,-0.37,0.08,0.05,-0.01,4,2019-03-25 16:06:23:216
-1.76,7.16,6.35,-0.06,-0.01,-0.37,0.08,0.05,-0.01,9,2019-03-25 16:06:23:221
-1.76,7.16,6.35,-0.06,-0.01,-0.37,0.08,0.05,-0.01,14,2019-03-25 16:06:23:226
-1.79,7.2,6.33,-0.08,0.01,-0.33,0.04,0.01,0.0,19,2019-03-25 16:06:23:231
-1.79,7.2,6.33,-0.08,0.01,-0.33,0.04,0.01,0.0,25,2019-03-25 16:06:23:237
-1.79,7.2,6.33,-0.08,0.01,-0.33,0.04,0.01,0.0,30,2019-03-25 16:06:23:242
-1.7,7.19,6.41,0.02,0.0,-0.22,0.0,0.0,0.0,34,2019-03-25 16:06:23:246
-1.7,7.19,6.41,0.02,0.0,-0.22,0.0,0.0,0.0,40,2019-03-25 16:06:23:252
-1.7,7.19,6.41,0.02,0.0,-0.22,0.0,0.0,0.0,44,2019-03-25 16:06:23:256
-1.7,7.19,6.41,0.02,0.0,-0.22,0.0,0.0,0.0,48,2019-03-25 16:06:23:260
-1.7,7.19,6.41,0.02,0.0,-0.22,0.0,0.0,0.0,54,2019-03-25 16:06:23:266
-1.7,7.19,6.41,0.02,0.0,-0.22,0.0,0.0,0.0,59,2019-03-25 16:06:23:271
-1.7,7.19,6.41,0.02,0.0,-0.22,0.0,0.0,0.0,64,2019-03-25 16:06:23:276
-1.65,7.13,6.53,0.07,-0.06,-0.07,-0.03,0.0,0.0,69,2019-03-25 16:06:23:281
-1.65,7.13,6.53,0.07,-0.06,-0.07,-0.03,0.0,0.0,74,2019-03-25 16:06:23:286
-1.65,7.13,6.53,0.07,-0.06,-0.07,-0.03,0.0,0.0,80,2019-03-25 16:06:23:292
-1.65,7.13,6.53,0.07,-0.06,-0.07,-0.03,0.0,0.0,84,2019-03-25 16:06:23:296
-1.65,7.13,6.53,0.07,-0.06,-0.07,-0.03,0.0,0.0,89,2019-03-25 16:06:23:301
-1.76,7.2,6.69,0.0,0.0,0.1,-0.04,-0.02,0.0,94,2019-03-25 16:06:23:306
-1.76,7.2,6.69,0.0,0.0,0.1,-0.04,-0.02,0.0,99,2019-03-25 16:06:23:311
-1.76,7.2,6.69,0.0,0.0,0.1,-0.04,-0.02,0.0,104,2019-03-25 16:06:23:316
-1.76,7.2,6.69,0.0,0.0,0.1,-0.04,-0.02,0.0,109,2019-03-25 16:06:23:321
-1.76,7.2,6.69,0.0,0.0,0.1,-0.04,-0.02,0.0,114,2019-03-25 16:06:23:326
-1.72,7.14,6.62,0.05,-0.04,0.04,-0.02,-0.03,0.0,119,2019-03-25 16:06:23:331
-1.72,7.14,6.62,0.05,-0.04,0.04,-0.02,-0.03,0.0,124,2019-03-25 16:06:23:336
-1.72,7.14,6.62,0.05,-0.04,0.04,-0.02,-0.03,0.0,129,2019-03-25 16:06:23:341
-1.62,7.15,6.65,0.11,-0.01,0.08,-0.04,-0.06,0.0,134,2019-03-25 16:06:23:346
-1.62,7.15,6.65,0.11,-0.01,0.08,-0.04,-0.06,0.0,139,2019-03-25 16:06:23:351
-1.62,7.15,6.65,0.11,-0.01,0.08,-0.04,-0.06,0.0,144,2019-03-25 16:06:23:356
-1.62,7.15,6.65,0.11,-0.01,0.08,-0.04,-0.06,0.0,149,2019-03-25 16:06:23:361
