ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-1.93,7.1,6.81,-0.01,0.0,0.08,-0.1,-0.2,0.04,9,2019-03-25 16:06:26:886
-1.93,7.1,6.81,-0.01,0.0,0.08,-0.1,-0.2,0.04,14,2019-03-25 16:06:26:891
-1.93,7.1,6.81,-0.01,0.0,0.08,-0.1,-0.2,0.04,19,2019-03-25 16:06:26:896
-1.93,7.1,6.81,-0.01,0.0,0.08,-0.1,-0.2,0.04,24,2019-03-25 16:06:26:901
-1.93,7.1,6.81,-0.01,0.0,0.08,-0.1,-0.2,0.04,29,2019-03-25 16:06:26:906
-1.51,7.06,6.67,0.25,-0.03,-0.12,-0.06,-0.15,0.05,35,2019-03-25 16:06:26:912
-1.51,7.06,6.67,0.25,-0.03,-0.12,-0.06,-0.15,0.05,40,2019-03-25 16:06:26:917
-1.51,7.06,6.67,0.25,-0.03,-0.12,-0.06,-0.15,0.05,43,2019-03-25 16:06:26:920
-1.51,7.06,6.67,0.25,-0.03,-0.12,-0.06,-0.15,0.05,49,2019-03-25 16:06:26:926
-1.61,7.08,6.71,0.11,0.0,-0.08,-0.07,-0.12,0.02,54,2019-03-25 16:06:26:931
-1.61,7.08,6.71,0.11,0.0,-0.08,-0.07,-0.12,0.02,59,2019-03-25 16:06:26:936
-1.61,7.08,6.71,0.11,0.0,-0.08,-0.07,-0.12,0.02,66,2019-03-25 16:06:26:943
-1.61,7.08,6.71,0.11,0.0,-0.08,-0.07,-0.12,0.02,68,2019-03-25 16:06:26:945
-1.88,7.02,6.62,-0.15,-0.05,-0.14,-0.1,-0.15,0.01,76,2019-03-25 16:06:26:953
-1.88,7.02,6.62,-0.15,-0.05,-0.14,-0.1,-0.15,0.01,79,2019-03-25 16:06:26:956
-1.88,7.02,6.62,-0.15,-0.05,-0.14,-0.1,-0.15,0.02,84,2019-03-25 16:06:26:961
-1.88,7.02,6.62,-0.09,0.03,0.0,-0.1,-0.15,0.02,89,2019-03-25 16:06:26:966
-1.88,7.02,6.62,-0.09,0.03,0.0,-0.1,-0.15,0.02,94,2019-03-25 16:06:26:971
-1.88,7.02,6.62,-0.09,0.03,0.0,-0.1,-0.15,0.02,99,2019-03-25 16:06:26:976
-1.64,7.0,6.74,0.04,-0.05,-0.06,-0.09,-0.15,0.03,104,2019-03-25 16:06:26:981
-1.64,7.0,6.74,0.04,-0.05,-0.06,-0.09,-0.15,0.03,109,2019-03-25 16:06:26:986
-1.64,7.0,6.74,0.04,-0.05,-0.06,-0.09,-0.15,0.03,114,2019-03-25 16:06:26:991
-1.65,7.06,6.74,0.0,0.01,-0.08,-0.08,-0.12,0.02,119,2019-03-25 16:06:26:996
-1.65,7.06,6.74,0.0,0.01,-0.08,-0.08,-0.12,0.02,125,2019-03-25 16:06:27:002
-1.65,7.06,6.74,0.0,0.01,-0.08,-0.08,-0.12,0.02,128,2019-03-25 16:06:27:005
-1.65,7.06,6.74,0.0,0.01,-0.08,-0.08,-0.12,0.02,134,2019-03-25 16:06:27:011
-1.62,6.95,6.81,0.0,0.01,-0.08,-0.07,-0.12,0.02,139,2019-03-25 16:06:27:016
-1.62,6.95,6.81,0.02,-0.07,0.0,-0.07,-0.12,0.02,145,2019-03-25 16:06:27:022
-1.62,6.95,6.81,0.02,-0.07,0.0,-0.07,-0.12,0.02,150,2019-03-25 16:06:27:027
